Country,Place,Start date,End date,Level,url,update,Confirmed
Tunisia,,2020-03-22,2020-05-04,National,https://www.garda.com/crisis24/news-alerts/337711/tunisia-lockdown-measures-to-ease-from-may-4-update-8,2020-05-03,True
United States,Kentucky,2020-03-23,2020-05-20,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Georgia,2020-04-03,2020-04-24,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Oklahoma,2020-04-01,,State,https://www.cnbc.com/2020/04/30/coronavirus-states-lifting-stay-at-home-orders-reopening-businesses.html,2020-05-03,False
Monaco,,2020-03-14,2020-05-04,National,https://lagazettedemonaco.com/en/fin-du-confinement-strict-le-4-mai/,2020-05-03,True
United States,West Virginia,2020-03-24,2020-05-04,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,North Carolina,2020-03-30,2020-05-08,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
Russia,Moscow,2020-03-30,2020-05-11,City,https://www.ft.com/content/4152c8b6-6e71-4801-928c-9c353cd2b8e8,2020-05-03,False
Nigeria,Abuja,2020-03-30,2020-05-04,City,https://www.france24.com/en/20200428-nigeria-to-ease-covid-19-lockdown-for-millions-in-key-cities-on-4-may,2020-05-03,False
United States,Illinois,2020-03-21,2020-05-31,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
United States,Indiana,2020-03-24,2020-05-04,State,https://www.cnbc.com/2020/04/30/coronavirus-states-lifting-stay-at-home-orders-reopening-businesses.html,2020-05-03,True
United States,Kansas,2020-03-30,2020-05-04,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Louisiana,2020-03-23,2020-05-15,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
United States,Maine,2020-04-02,2020-06-01,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Maryland,2020-03-30,,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
United States,Massachusetts,2020-03-24,2020-05-18,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
United States,Michigan,2020-03-24,2020-05-15,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
Nigeria,Lagos,2020-03-30,2020-05-04,City,https://www.france24.com/en/20200428-nigeria-to-ease-covid-19-lockdown-for-millions-in-key-cities-on-4-may,2020-05-03,False
United States,Missouri,2020-04-03,2020-05-04,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Montana,2020-03-28,2020-04-27,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,Mississippi,2020-04-03,2020-04-27,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
Puerto Rico,,2020-03-15,2020-05-25,National,https://abcnews.go.com/Health/wireStory/puerto-rico-partially-reopen-coronavirus-concerns-70444947,2020-05-03,False
Nigeria,Ogun,2020-03-30,2020-05-04,City,https://www.france24.com/en/20200428-nigeria-to-ease-covid-19-lockdown-for-millions-in-key-cities-on-4-may,2020-05-03,False
United States,New York,2020-03-22,2020-05-15,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
United States,New Mexico,2020-03-24,2020-05-15,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
United States,New Hampshire,2020-03-27,2020-05-11,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,True
United States,New Jersey,2020-03-21,,State,https://www.wired.com/story/which-states-reopening-lockdown/,2020-05-03,False
